id,image,name,price,description,usage
equipment-1,assets/images/equipment/espresso-machine.webp,Espresso Machine,599.00,"A semi-automatic espresso machine designed for producing rich and authentic espresso.","Preheat the machine before use, grind coffee finely, tamp evenly, and clean the portafilter after each extraction."
equipment-2,assets/images/equipment/french-press-brewer.webp,French Press,29.90,"A classic immersion brewer that delivers a full-bodied and robust coffee by steeping grounds directly in hot water.","Use coarse-ground coffee, steep for four minutes, then press the plunger slowly to avoid bitterness."
equipment-3,assets/images/equipment/pour-over-dripper.webp,Pour Over Dripper,19.50,"A manual brewing device that emphasizes clarity and aroma through controlled water flow and extraction.","Rinse the filter first, pour water slowly in circular motions, and maintain a consistent brew ratio."
equipment-4,assets/images/equipment/gooseneck-kettle.webp,Gooseneck Kettle,49.00,"A precision kettle designed to give complete control over water flow for manual brewing methods.","Heat water to the desired temperature and pour slowly for accurate saturation during brewing."
equipment-5,assets/images/equipment/manual-coffee-grinder.webp,Manual Grinder,34.75,"A compact hand grinder with adjustable burrs for consistent grind size across various brewing styles.","Adjust grind size according to brew method and clean burrs regularly for optimal performance."
equipment-6,assets/images/equipment/aeropress-coffee-maker.webp,AeroPress Maker,39.90,"A portable coffee maker that uses pressure and immersion to produce smooth, low-acidity coffee.","Use medium-fine grind, stir briefly, press gently, and rinse components after each use."
equipment-7,assets/images/equipment/moka-pot.webp,Moka Pot,39.95,"A stovetop brewer that uses steam pressure to produce espresso-like coffee.","Use medium-fine grind, fill water to safety valve, and remove from heat just as brewing finishes."
equipment-8,assets/images/equipment/cold-brew-maker.webp,Cold Brew Maker,24.99,"A large-capacity brewer designed for steeping coffee in cold water over 12–24 hours.","Use coarse grind, steep in fridge, and dilute concentrate with water or milk before serving."
equipment-9,assets/images/equipment/v60-dripper.webp,V60 Dripper,22.00,"A conical pour-over dripper with spiral ridges for controlled, even extraction.","Rinse filter, bloom coffee, and pour in slow spirals for maximum flavor clarity."
equipment-10,assets/images/equipment/coffee-scale.webp,Coffee Scale,28.50,"A precision digital scale with timer for accurate brew ratios and consistency.","Place brewer on scale, tare weight, and monitor water output during pour."
equipment-11,assets/images/equipment/temperature-kettle.webp,Variable Temp Kettle,55.00,"An electric kettle with adjustable temperature settings for different brew methods.","Set water temp (e.g., 92°C for pour-over, 85°C for delicate greens), then pour with gooseneck control."
equipment-12,assets/images/equipment/espresso-tamper.webp,Espresso Tamper,18.00,"A tool for evenly compressing coffee grounds in an espresso portafilter.","Apply 30 lbs of pressure uniformly to create a level, compact puck for optimal extraction."   
